setNum;name_en;name_de;year;recommendedRetailPrice €
626;Baseplate;LEGO® Bricks and More 626 32x32 Bauplatte Rasen;1996;7.99
2143;Rocka 3.0;LEGO® HERO Factory 2143 Rocka 3.0;2011;9.99
2144;Nex 3.0;LEGO® HERO Factory 2144 Nex 3.0;2011;9.99
2171;Zane DX;LEGO® Ninjago 2171 Zane DX;2011;9.99
2172;Nya;LEGO® Ninjago 2172 Nya;2011;9.99
2173;Nuckal;LEGO® Ninjago 2173 Nuckal;2011;9.99
2174;Kruncha;LEGO® Ninjago 2174 Kruncha;2011;9.99
2175;Wyplash;LEGO® Ninjago 2175 Wyplash;2011;9.99
2182;Bulk 3.0;LEGO® HERO Factory 2182 Bulk 3.0;2011;9.99
2183;Stringer 3.0;LEGO® HERO Factory 2183 Stringer 3.0;2011;9.99
2191;Furno 3.0;LEGO® HERO Factory 2191 Furno 3.0;2011;9.99
2231;Waspix;LEGO® HERO Factory 2231 Waspix;2011;12.99
2232;Raw-Jaw;LEGO® HERO Factory 2232 Raw-Jaw;2011;12.99
2233;Fangz;LEGO® HERO Factory 2233 Fangz;2011;12.99
2236;Scorpio;LEGO® HERO Factory 2236 Scorpio;2011;19.99
2254;Mountain Shrine;LEGO® Ninjago 2254 Mountain Shrine;2011;19.99
2255;Sensei Wu;LEGO® Ninjago 2255 Sensei Wu;2011;9.99
2256;Lord Garmadon;LEGO® Ninjago 2256 Lord Garmadon;2011;9.99
2257;Spinjitzu Starter Set;LEGO® Ninjago 2257 Spinjitzu Starter Set;2011;19.99
2258;Ninja Ambush;LEGO® Ninjago 2258 Ninja Ambush;2011;6.99
2259;Skull Motorbike;LEGO® Ninjago 2259 Skull Motorbike;2011;14.99
2260;Ice Dragon Attack;LEGO® Ninjago 2260 Ice Dragon Attack;2011;19.99
2263;Turbo Shredder;LEGO® Ninjago 2263 Turbo Shredder;2011;29.99
2282;Rocka XL;LEGO® HERO Factory 2282 Rocka XL;2011;24.99
2283;Witch Doctor;LEGO® HERO Factory 2283 Witch Doctor;2011;34.99
2504;Spinjitzu Dojo;LEGO® Ninjago 2504 Spinjitzu Dojo;2011;39.99
2505;Garmadon's Dark Fortress;LEGO® Ninjago 2505 Garmadon's Dark Fortress;2011;69.99
2507;Fire Temple;LEGO® Ninjago 2507 Ninja Feuertempel;2011;119.99
2508;Blacksmith Shop;LEGO® Ninjago 2508 Geheime Schmiedewerkstatt;2011;19.99
2509;Earth Dragon Defense;LEGO® Ninjago 2509 Earth Dragon Defense;2011;34.99
2516;Ninja Training Outpost;LEGO® Ninjago 2516 Ninja Außenposten;2011;4.99
2519;Skeleton Bowling;LEGO® Ninjago 2519 Skeleton Bowling;2011;29.99
2521;Lightning Dragon Battle;LEGO® Ninjago 2521 Lightning Dragon Battle;2011;79.99
3063;Heartlake Flying Club;LEGO® Friends 3063 Flugschule mit Wasserflugzeug;2012;19.99
3065;Olivia's Tree House;LEGO® Friends 3065 Abenteuer Baumhaus;2012;19.99
3177;Small Car;LEGO® Disney 43177 Belles Märchenbuch;2010;19.99
3178;Seaplane;LEGO® Disney 43178 Cinderellas Schlossfest;2010;29.99
3179;Repair Truck;LEGO® City 3179 Reparaturwagen;2010;12.99
3181;Passenger Plane;LEGO® City 3181 Passenger Plane;2010;34.99
3182;Airport;LEGO® Disney 43182 Mulans Trainingsplatz;2010;14.99
3183;Stephanie's Cool Convertible;LEGO® Friends 3183 Stephanie's Cool Convertible;2012;29.99
3184;Adventure Camper;LEGO® Friends 3184 Abenteuer Wohnmobil;2012;29.99
3185;Summer Riding Camp;LEGO® Friends 3185 Großer Reiterhof;2012;99.99
3186;Emma's Horse Trailer;LEGO® Friends 3186 Geländewagen mit Pferdeanhänger;2012;24.99
3221;LEGO Truck;LEGO® City 3221 LEGO LKW;2010;29.99
3315;Olivia's House;LEGO® Friends 3315 Traumhaus;2012;69.99
3316;Advent Calender 2012;LEGO® 3316 LEGO® Friends Adventskalender;2012;19.99
3365;Moon Buggy;LEGO® City 3365 Space Moon Buggy;2011;4.99
3366;Satellite Launcher;LEGO® City 3366 Satellite Launch Pad;2011;16.99
3367;Space Shuttle;LEGO® City 3367 Space Shuttle;2011;29.99
3368;Rocket Launch Center;LEGO® City 3368 Space Centre;2011;59.99
3658;Police Helicopter;LEGO® City 3658 Police Helicopter;2011;34.99
3661;Bank & Money Transfer;LEGO® City 3661 Bank & Money Transfer;2011;49.99
3817;The Flying Dutchman;LEGO® SpongeBob SquarePants 3817 Der Fliegende Holländer;2012;29.99
3852;Sunblock;LEGO® Games 3852 Sunblock;2011;9.99
3853;Banana Balance;LEGO® Games 3853 Banana Balance;2011;9.99
3854;Frog Rush;LEGO® Games 3854 Frog Rush;2011;12.99
3855;Ramses Return;LEGO® Games 3855 Ramses Return;2011;12.99
3856;Ninjago;LEGO® Games 3856 NinjaGo;2011;24.99
3858;Waldurk Forest;LEGO® Games 3858 Waldurk Forest;2011;19.99
3859;Caverns of Nathuz;LEGO® Games 3859 Caverns of Nathuz;2011;19.99
3860;Castle Fortaan;LEGO® Games 3860 Castle Fortaan;2011;29.99
3861;Champion;LEGO® Games 3861 LEGO Champion;2011;34.99
3862;Hogwarts;LEGO® Games 3862 Harry Potter Hogwarts;2010;34.99
3864;Mini Taurus;LEGO® Games 3864 Mini Taurus;2012;12.99
3865;City Alarm;LEGO® The Lego Movie 2 853865 Zubehörset - Kanalbabies;2012;12.99
3874;Ilrion;LEGO® The Lego Movie 2 853874 Emmets Baustellen-Pod;2012;8.99
3920;The Hobbit;LEGO® Games 3920 Hobbit;2012;34.99
3930;Stephanie's Outdoor Bakery;LEGO® Friends 3930 Stephanie's Backspaß im Garten;2012;5.99
3931;Emma's Splash Pool;LEGO® Friends 3931 Emma's Sonnenterrasse;2012;5.99
3932;Andrea's Stage;LEGO® Friends 3932 Andrea's Stage;2012;9.99
3933;Olivia's Invention Workshop;LEGO® Friends 3933 Olivia's Invention Workshop;2012;9.99
3934;Mia's Puppy House;LEGO® Friends 3934 Mia's Welpen-Häuschen;2012;9.99
3937;Olivia's Speedboat;LEGO® Friends 3937 Olivia's Speedboat;2012;9.99
3938;Andrea's Bunny House;LEGO® Friends 3938 Andrea's Bunny House;2012;9.99
3939;Mia's Bedroom;LEGO® Friends 3939 Mia's Bedroom;2012;9.99
3942;Heartlake Dog Show;LEGO® Friends 3942 Die große Hundeschau;2012;19.99
4181;Isla De Muerta;LEGO® Pirates of the Caribbean 4181 Isla de la Muerta;2011;26.99
4191;The Captain's Cabin;LEGO® Pirates of the Caribbean 4191 Captain's Cabin;2011;14.99
4192;Fountain of Youth;LEGO® Pirates of the Caribbean 4192 Quelle der ewigen Jugend;2011;26.99
4193;The London Escape;LEGO® Pirates of the Caribbean 4193 Flucht aus London;2011;59.99
4194;Whitecap Bay;LEGO® Pirates of the Caribbean 4194 Whitecap Bay;2011;89.99
4195;Queen Anne's Revenge;LEGO® Pirates of the Caribbean 4195 Queen Anne's Revenge;2011;129.99
4201;Loader and Tipper;LEGO® City 4201 Bagger mit Kipplaster;2012;14.99
4204;The Mine;LEGO® City 4204 Bergwerk;2012;79.99
4428;Advent Calendar 2012;LEGO® 4428 LEGO® City Adventskalender;2012;19.99
4429;Helicopter Rescue;LEGO® City 4429 Helikopter Rettungsbasis;2012;49.99
4430;Mobile Fire Command Center;LEGO® City 4430 Mobile Feuerwehrzentrale;2012;49.99
4431;Ambulance;LEGO® City 4431 Krankenwagen;2012;19.99
4432;Garbage Truck;LEGO® City 4432 Garbage Truck;2012;19.99
4433;Dirt Bike Transporter;LEGO® City 4433 Dirt Bike Transporter;2012;19.99
4434;Tipper Truck;LEGO® City 4434 Dump Truck;2012;19.99
